,last_name,first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
0,Burnes, Corbin,669203,96.1,96.3,95.0,88.2,90.3,81.6,,
1,Cole, Gerrit,543037,97.8,,92.0,88.7,89.7,83.0,,
2,Alcantara, Sandy,645261,98.0,97.8,,90.0,91.8,86.2,,
3,Mikolas, Miles,571945,93.5,93.0,,87.7,82.7,76.2,,
4,Cease, Dylan,656302,96.8,96.5,,87.4,77.9,81.1,,
5,Wainwright, Adam,425794,88.0,88.6,84.3,,82.2,72.9,,
6,Pivetta, Nick,601713,93.4,,,85.8,87.1,77.2,,
7,Kelly, Merrill,518876,92.6,92.6,90.9,85.0,88.6,82.2,,
8,Ray, Robbie,592662,93.4,93.3,,87.2,86.9,79.7,,
9,Nola, Aaron,605400,92.8,92.2,86.8,,85.9,78.6,,
10,Valdez, Framber,664285,94.1,93.9,83.0,,88.7,79.1,,
11,Gilbert, Logan,669302,96.1,94.7,,86.9,86.2,80.8,,
12,Webb, Logan,657277,92.4,91.8,,82.5,86.4,,,
13,Lyles, Jordan,543475,91.8,90.8,84.8,80.0,86.3,79.1,,
14,Rodón, Carlos,607074,95.5,,,85.4,84.6,79.8,,
15,Pérez, Martín,527048,92.7,92.6,89.8,84.4,84.4,78.8,,
16,Darvish, Yu,506433,95.0,94.7,86.5,82.3,,72.7,89.2,
17,Manoah, Alek,666201,93.9,93.3,,81.5,86.5,,,
18,Gallen, Zac,668678,94.1,94.7,89.9,86.7,86.2,81.6,,
19,Quantrill, Cal,615698,93.4,93.6,88.5,,85.3,82.7,,
20,López, Pablo,641154,93.5,93.4,88.7,,87.5,80.9,,
21,Morton, Charlie,450203,94.9,94.7,88.4,,87.2,81.3,,
22,Bassitt, Chris,605135,93.2,92.8,89.1,78.9,85.4,71.6,,
23,Bieber, Shane,669456,91.3,,86.9,85.0,86.4,82.0,,
24,Freeland, Kyle,607536,90.3,89.6,,85.5,84.8,80.9,,
25,Márquez, Germán,608566,95.6,95.1,,87.7,87.8,86.5,,
